,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
152,118.0,111.0,651.0,,351,0.5400963438735178,2024-02-16 12:22:03.090438,2024-02-16 12:22:14.905729,0 days 00:00:11.815291,True,absolute_error,0.0342781668642701,48,0.6337467967629469,61,0.0643904745774684,13,2,RandomForest,134,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
153,114.0,105.0,37.0,115.0,115,0.5400963438735178,2024-02-15 23:35:23.542115,2024-02-15 23:35:32.279074,0 days 00:00:08.736959,True,absolute_error,0.0758022444257497,43,0.5395541801390297,73,0.0710396552591534,13,8,RandomForest,197,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
160,124.0,106.0,484.0,,184,0.5400963438735178,2024-02-16 11:23:45.928133,2024-02-16 11:24:11.829270,0 days 00:00:25.901137,True,absolute_error,0.0148224666247413,46,0.6205811698787712,48,0.061529874244382,13,7,RandomForest,126,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
158,126.0,108.0,676.0,,376,0.5400963438735178,2024-02-16 12:29:30.883888,2024-02-16 12:30:02.030146,0 days 00:00:31.146258,True,absolute_error,0.0210383036963238,27,0.6504066612068953,58,0.0622344862662674,13,11,RandomForest,135,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
162,116.0,115.0,482.0,,182,0.5400963438735178,2024-02-16 11:22:55.453501,2024-02-16 11:23:20.646391,0 days 00:00:25.192890,True,absolute_error,0.0172232272624125,45,0.6458777854975564,45,0.0640564199504744,13,8,RandomForest,131,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
161,125.0,107.0,472.0,,172,0.5400963438735178,2024-02-16 11:18:19.171342,2024-02-16 11:18:48.086505,0 days 00:00:28.915163,True,absolute_error,0.0194423448371505,48,0.5770802558760623,52,0.0652239217858535,13,11,RandomForest,135,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
154,113.0,114.0,443.0,,143,0.5400963438735178,2024-02-16 11:05:53.295873,2024-02-16 11:06:21.794916,0 days 00:00:28.499043,True,absolute_error,0.0148691566650558,45,0.5889188676751436,52,0.0624470583712477,13,8,RandomForest,137,False,False,COMPLETE,,
156,127.0,113.0,586.0,,286,0.5400963438735178,2024-02-16 12:01:20.342447,2024-02-16 12:01:30.549221,0 days 00:00:10.206774,True,absolute_error,0.0356410146448165,48,0.5358375939215878,76,0.0626856993660914,13,4,RandomForest,135,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
157,128.0,112.0,469.0,,169,0.5400963438735178,2024-02-16 11:17:02.828726,2024-02-16 11:17:27.999372,0 days 00:00:25.170646,True,absolute_error,0.0175195023245222,45,0.6551311946610987,45,0.0636567696103919,13,8,RandomForest,132,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
148,122.0,119.0,444.0,,144,0.5400963438735178,2024-02-16 11:06:10.354695,2024-02-16 11:06:42.329550,0 days 00:00:31.974855,True,absolute_error,0.0149880738154034,45,0.6598740271173078,59,0.0622822334543843,13,9,RandomForest,137,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
149,121.0,118.0,403.0,,103,0.5400963438735178,2024-02-16 10:57:37.133363,2024-02-16 10:58:06.504701,0 days 00:00:29.371338,True,absolute_error,0.020414013602625,47,0.7030695671431331,54,0.0616003271539948,13,9,RandomForest,138,False,False,COMPLETE,,
147,115.0,104.0,36.0,201.0,201,0.5400963438735178,2024-02-15 23:48:05.001248,2024-02-15 23:48:13.066543,0 days 00:00:08.065295,True,absolute_error,0.0857144491381234,24,0.5783117456858758,85,0.0708741424887055,8,3,RandomForest,184,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
159,123.0,109.0,445.0,,145,0.5400963438735178,2024-02-16 11:06:21.813182,2024-02-16 11:06:53.700488,0 days 00:00:31.887306,True,absolute_error,0.0141403056782766,45,0.5817443617080487,59,0.0661067835328685,13,7,RandomForest,138,False,False,COMPLETE,,
155,112.0,103.0,440.0,,140,0.5400963438735178,2024-02-16 11:05:15.660286,2024-02-16 11:05:42.427594,0 days 00:00:26.767308,True,absolute_error,0.013705143995246,45,0.5778946435348284,51,0.0631901136057303,13,8,RandomForest,126,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
146,117.0,116.0,468.0,,168,0.5400963438735178,2024-02-16 11:16:33.643649,2024-02-16 11:17:02.808593,0 days 00:00:29.164944,True,absolute_error,0.0186291946338286,48,0.5816250193856599,52,0.0651561873258119,13,11,RandomForest,136,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
151,119.0,110.0,412.0,,112,0.5400963438735178,2024-02-16 10:59:30.587356,2024-02-16 10:59:55.421262,0 days 00:00:24.833906,True,absolute_error,0.0154394109704436,47,0.6379810808941266,44,0.0653611861257133,13,9,RandomForest,136,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
150,120.0,117.0,394.0,,94,0.5400963438735178,2024-02-16 10:55:33.852681,2024-02-16 10:55:58.817660,0 days 00:00:24.964979,True,absolute_error,0.0162910269279276,44,0.6990616497239108,46,0.0617282966529807,13,11,RandomForest,132,False,False,COMPLETE,"[0.53, 0.5, 0.5375, 0.5928853754940712]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
163,129.0,120.0,629.0,,329,0.5399718379446641,2024-02-16 12:13:47.047735,2024-02-16 12:13:59.275367,0 days 00:00:12.227632,True,absolute_error,0.0335532030476809,48,0.5237550015485989,49,0.0599757739852784,12,3,RandomForest,131,False,False,COMPLETE,"[0.488, 0.5, 0.5375, 0.6343873517786561]","[0.     0.     0.     0.     0.     0.     0.25   0.     0.     0.
 0.     0.     0.     0.     0.125  0.     0.     0.0625 0.     0.
 0.     0.0625 0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.125  0.     0.
 0.     0.     0.     0.     0.     0.     0.0625 0.     0.0625 0.
 0.     0.     0.     0.    ]"
1697,,,,,117,0.5399711791831356,2024-02-17 14:33:00.656059,2024-02-17 14:34:02.352023,0 days 00:01:01.695964,True,absolute_error,0.005567341409622791,23,0.0726430740736204,71,0.036481596060189705,17,8,RandomForest,117,False,False,COMPLETE,"[0.51, 0.5, 0.5708333333333333, 0.5790513833992095]","[0.       0.125    0.       0.       0.       0.015625 0.015625 0.265625
 0.       0.015625 0.       0.       0.       0.       0.015625 0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.046875 0.       0.       0.       0.015625 0.0625
 0.       0.       0.015625 0.       0.       0.       0.       0.
 0.0625   0.015625 0.       0.       0.015625 0.015625 0.015625 0.
 0.03125  0.       0.       0.       0.       0.      ]"
1705,,,,,125,0.5398452754974494,2024-02-17 14:40:30.658314,2024-02-17 14:41:26.994464,0 days 00:00:56.336150,True,absolute_error,0.006223665914823072,24,0.12143518128505115,62,0.0337005189686549,18,8,RandomForest,120,False,False,COMPLETE,"[0.54, 0.5598290598290598, 0.4666666666666667, 0.5928853754940712]","[0.02613089 0.04872577 0.00291355 0.         0.02914544 0.01219512
 0.13943089 0.07439024 0.         0.         0.00609756 0.05
 0.00609756 0.         0.01666667 0.         0.         0.
 0.         0.00609756 0.         0.         0.         0.00609756
 0.00708814 0.         0.04268293 0.08333333 0.02276423 0.
 0.08943089 0.01219512 0.         0.05609756 0.01219512 0.00609756
 0.         0.03333333 0.         0.         0.01666667 0.00609756
 0.02594824 0.         0.01829268 0.01219512 0.06219512 0.
 0.01219512 0.         0.00720244 0.         0.         0.05      ]"
164,1208.0,,,,228,0.5396681488801054,2024-02-16 18:14:45.200251,2024-02-16 18:14:53.710620,0 days 00:00:08.510369,True,absolute_error,0.0859760298778252,14,0.1484737228111166,41,0.0504131485917202,12,6,RandomForest,197,False,False,COMPLETE,,
165,130.0,908.0,,,228,0.5396681488801054,2024-02-16 18:14:45.200251,2024-02-16 18:14:53.710620,0 days 00:00:08.510369,True,absolute_error,0.0859760298778252,14,0.1484737228111166,41,0.0504131485917202,12,6,RandomForest,197,False,False,COMPLETE,"[0.53, 0.41666666666666663, 0.5874999999999999, 0.624505928853755]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.1547619  0.         0.         0.
 0.         0.         0.         0.25       0.         0.
 0.         0.         0.08333333 0.         0.         0.
 0.         0.         0.03571429 0.         0.         0.
 0.         0.03571429 0.03571429 0.         0.25       0.
 0.         0.         0.         0.         0.03571429 0.
 0.         0.08333333 0.         0.         0.         0.03571429]"
1723,,,,,143,0.539554512516469,2024-02-17 14:57:17.334549,2024-02-17 14:58:06.282102,0 days 00:00:48.947553,True,absolute_error,0.007334986838299586,8,0.06012530391163558,55,0.037310449857539126,18,6,RandomForest,118,False,False,COMPLETE,"[0.5, 0.5, 0.5791666666666666, 0.5790513833992095]","[0.         0.125      0.         0.         0.         0.01666667
 0.01666667 0.01666667 0.         0.01666667 0.         0.
 0.         0.         0.01666667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05       0.         0.         0.
 0.         0.0625     0.         0.         0.01666667 0.
 0.         0.         0.         0.         0.0625     0.01666667
 0.         0.         0.01666667 0.01666667 0.01666667 0.
 0.03333333 0.         0.         0.         0.         0.        ]"
166,131.0,121.0,527.0,,227,0.539260128458498,2024-02-16 11:44:37.725965,2024-02-16 11:45:08.509775,0 days 00:00:30.783810,True,absolute_error,0.0216705099128607,48,0.59403962334105,57,0.0506010619761981,13,3,RandomForest,135,False,False,COMPLETE,"[0.49999999999999994, 0.5, 0.55625, 0.6007905138339922]","[0.         0.         0.         0.         0.         0.
 0.0625     0.         0.0625     0.         0.         0.0625
 0.         0.         0.08333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.         0.
 0.         0.         0.         0.         0.0625     0.
 0.125      0.         0.         0.         0.         0.08333333]"
167,132.0,122.0,661.0,,361,0.5392362483530962,2024-02-16 12:24:37.180772,2024-02-16 12:24:43.225461,0 days 00:00:06.044689,True,absolute_error,0.0444351554101789,48,0.9937381952953848,55,0.0559011516114103,13,6,RandomForest,126,False,False,COMPLETE,"[0.5100000000000001, 0.5, 0.5520833333333334, 0.5948616600790514]","[0.         0.         0.08333333 0.         0.         0.
 0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.0625     0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.08333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0625     0.         0.         0.         0.
 0.         0.         0.         0.         0.125      0.
 0.125      0.         0.         0.0625     0.         0.0625    ]"
1696,,,,,116,0.539145337150772,2024-02-17 14:32:00.624363,2024-02-17 14:33:00.639305,0 days 00:01:00.014942,True,absolute_error,0.005255829630860412,21,0.11646162098004056,70,0.0404037014391993,18,6,RandomForest,114,False,False,COMPLETE,"[0.502, 0.5235042735042735, 0.5125000000000001, 0.6185770750988142]","[0.05       0.1        0.         0.         0.         0.01666667
 0.26666667 0.01666667 0.         0.         0.         0.08333333
 0.         0.         0.05       0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.1        0.         0.0470171  0.
 0.         0.         0.         0.         0.01666667 0.
 0.         0.05       0.         0.         0.03631623 0.01666667
 0.01666667 0.         0.01666667 0.         0.01666667 0.
 0.01666667 0.         0.         0.         0.         0.08333333]"
1824,,,,,244,0.5388899826019391,2024-02-17 16:29:56.089363,2024-02-17 16:31:17.004525,0 days 00:01:20.915162,True,absolute_error,0.007693955695635366,15,0.06318712429819004,96,0.0311953339228072,20,17,RandomForest,115,False,False,COMPLETE,"[0.592, 0.46367521367521364, 0.5208333333333333, 0.5790513833992095]","[0.01041667 0.15625    0.         0.         0.         0.01041667
 0.07291667 0.07291667 0.         0.01041667 0.         0.
 0.         0.         0.26041667 0.         0.         0.
 0.         0.         0.         0.         0.         0.01041667
 0.         0.         0.0625     0.         0.04166667 0.
 0.01041667 0.01041667 0.         0.0625     0.01041667 0.01041667
 0.         0.         0.         0.         0.03125    0.01041667
 0.01041667 0.         0.01041667 0.05208333 0.05208333 0.
 0.02083333 0.         0.         0.         0.         0.        ]"
168,133.0,123.0,395.0,,95,0.5388333333333334,2024-02-16 10:55:57.332535,2024-02-16 10:56:25.269007,0 days 00:00:27.936472,True,absolute_error,0.0155400804344459,46,0.7131375733203009,54,0.0612798955158502,13,9,RandomForest,132,False,False,COMPLETE,,
170,134.0,850.0,,,170,0.5385251976284585,2024-02-16 18:06:47.459113,2024-02-16 18:06:55.459774,0 days 00:00:08.000661,True,absolute_error,0.0839399850648791,17,0.2822768375793059,15,0.0747937522389067,6,4,RandomForest,182,False,False,COMPLETE,"[0.5, 0.5, 0.5375, 0.616600790513834]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]"
169,1150.0,,,,170,0.5385251976284585,2024-02-16 18:06:47.459113,2024-02-16 18:06:55.459774,0 days 00:00:08.000661,True,absolute_error,0.0839399850648791,17,0.2822768375793059,15,0.0747937522389067,6,4,RandomForest,182,False,False,COMPLETE,,
171,1504.0,,,,524,0.5384865249484815,2024-02-16 22:36:40.861999,2024-02-16 22:36:48.625953,0 days 00:00:07.763954,True,absolute_error,0.0337381229840235,19,0.5145617037766568,58,0.0469617143699854,14,8,RandomForest,177,False,False,COMPLETE,"[0.496, 0.5042735042735043, 0.5291666666666667, 0.624505928853755]","[0.01923077 0.02083333 0.         0.         0.         0.02083333
 0.03846154 0.         0.         0.         0.         0.
 0.         0.         0.0625     0.02083333 0.         0.
 0.         0.         0.         0.14583333 0.         0.
 0.         0.         0.17307692 0.         0.09490666 0.
 0.         0.03009334 0.         0.         0.01923077 0.
 0.         0.02083333 0.02083333 0.         0.0625     0.
 0.08333333 0.         0.         0.         0.10416667 0.
 0.         0.         0.         0.         0.04166667 0.02083333]"
173,135.0,125.0,612.0,,312,0.5382918313570488,2024-02-16 12:07:36.885768,2024-02-16 12:07:43.037069,0 days 00:00:06.151301,True,absolute_error,0.0426280626010189,43,0.5484898011849235,58,0.0575954604682526,13,2,RandomForest,124,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.5138339920948617]","[0.         0.         0.         0.         0.         0.08333333
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.08333333 0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
172,136.0,124.0,582.0,,282,0.5382918313570488,2024-02-16 12:00:48.838727,2024-02-16 12:00:55.326246,0 days 00:00:06.487519,True,absolute_error,0.0381957949043377,9,0.4790614122512052,58,0.0582385260720416,13,3,RandomForest,135,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.5138339920948617]","[0.         0.         0.         0.         0.         0.08333333
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.08333333 0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
174,1499.0,,,,519,0.5382730017566973,2024-02-16 22:34:35.845412,2024-02-16 22:34:43.101176,0 days 00:00:07.255764,True,absolute_error,0.0351981830376496,19,0.4640171425892297,60,0.0478470804924203,14,8,RandomForest,157,False,False,COMPLETE,"[0.514, 0.4444444444444445, 0.5958333333333333, 0.5988142292490118]","[0.01923077 0.025      0.         0.         0.         0.025
 0.03846154 0.         0.01923077 0.         0.         0.
 0.         0.         0.06923077 0.025      0.         0.
 0.         0.         0.         0.05       0.         0.
 0.         0.         0.15384615 0.         0.12675846 0.
 0.         0.03990821 0.         0.         0.         0.
 0.         0.025      0.025      0.         0.08333333 0.
 0.05       0.         0.         0.         0.05       0.
 0.1        0.         0.         0.         0.05       0.025     ]"
175,137.0,126.0,532.0,,232,0.5382521620891185,2024-02-16 11:47:03.901205,2024-02-16 11:47:33.246091,0 days 00:00:29.344886,True,absolute_error,0.027705497939462,47,0.5370548072408965,56,0.0469025138923697,13,4,RandomForest,128,False,False,COMPLETE,"[0.484, 0.5149572649572649, 0.575, 0.5790513833992095]","[0.02272727 0.         0.         0.         0.         0.
 0.04545455 0.05       0.04545455 0.         0.         0.
 0.         0.         0.07446981 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.13916656 0.         0.12832355 0.
 0.         0.17167645 0.         0.         0.02272727 0.
 0.         0.         0.         0.         0.         0.
 0.0625     0.         0.         0.         0.0625     0.
 0.125      0.         0.         0.         0.         0.05      ]"
176,1455.0,,,,475,0.5382308135704875,2024-02-16 22:26:18.847372,2024-02-16 22:26:26.561337,0 days 00:00:07.713965,True,absolute_error,0.0689238454695708,20,0.5133819735042766,59,0.0512646037048553,13,9,RandomForest,176,False,False,COMPLETE,"[0.49999999999999994, 0.41666666666666663, 0.5979166666666668, 0.6383399209486166]","[0.         0.         0.         0.         0.         0.02272727
 0.08333333 0.         0.08333333 0.         0.         0.05
 0.         0.         0.06818182 0.02272727 0.         0.
 0.02391473 0.         0.         0.05       0.         0.
 0.         0.         0.08333333 0.02272727 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.         0.         0.25       0.
 0.         0.         0.         0.         0.07272727 0.
 0.07608527 0.         0.         0.         0.04545455 0.02272727]"
1864,,,,,284,0.5381771055031924,2024-02-17 17:04:14.705071,2024-02-17 17:04:53.432959,0 days 00:00:38.727888,True,absolute_error,0.013248476003035152,5,0.11135087000761885,73,0.030264377160480627,18,19,RandomForest,136,False,False,COMPLETE,"[0.522, 0.5448717948717949, 0.5166666666666666, 0.5691699604743082]","[0.03440772 0.05608794 0.         0.         0.01330984 0.04553571
 0.0810632  0.04206349 0.01923077 0.         0.00714286 0.03256704
 0.00714286 0.         0.0551511  0.         0.         0.02777778
 0.         0.03492063 0.         0.         0.         0.
 0.0039844  0.         0.05961538 0.01635743 0.06476648 0.0144415
 0.06964286 0.         0.         0.02777778 0.02142857 0.
 0.02777778 0.01923077 0.         0.         0.00961538 0.00714286
 0.03104396 0.         0.01428571 0.00961538 0.06236264 0.
 0.05267857 0.         0.00405382 0.         0.         0.02777778]"
177,1287.0,,,,307,0.5381262985203203,2024-02-16 21:55:35.436286,2024-02-16 21:55:43.589477,0 days 00:00:08.153191,True,absolute_error,0.0841854162431187,17,0.3381387136393517,53,0.0445374876965064,12,6,RandomForest,187,False,False,COMPLETE,"[0.5, 0.5448717948717949, 0.55625, 0.5513833992094861]","[0.         0.00726687 0.         0.         0.         0.01666667
 0.025      0.         0.02527106 0.         0.01318748 0.0625
 0.         0.0125     0.08306228 0.0125     0.         0.025
 0.04183353 0.         0.         0.025      0.         0.
 0.         0.02000283 0.1125     0.00916384 0.         0.
 0.         0.03245248 0.04166667 0.         0.0125     0.
 0.         0.03333333 0.01666667 0.         0.0968998  0.
 0.01181252 0.         0.         0.         0.09166667 0.
 0.10071399 0.02916667 0.         0.         0.         0.04166667]"
178,138.0,127.0,595.0,,295,0.5380569005270093,2024-02-16 12:03:16.000696,2024-02-16 12:03:22.225147,0 days 00:00:06.224451,True,absolute_error,0.0371611209046287,48,0.5523440109744832,51,0.0556566262005597,13,2,RandomForest,126,False,False,COMPLETE,"[0.508, 0.5, 0.6145833333333334, 0.5296442687747036]","[0.         0.         0.         0.         0.         0.0625
 0.08333333 0.         0.08333333 0.         0.         0.
 0.         0.         0.0625     0.         0.         0.
 0.         0.         0.         0.0625     0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0625     0.         0.         0.08333333 0.
 0.         0.         0.         0.         0.0625     0.
 0.125      0.         0.         0.         0.         0.0625    ]"
179,139.0,128.0,551.0,,251,0.5378964920948617,2024-02-16 11:52:13.654385,2024-02-16 11:52:26.370111,0 days 00:00:12.715726,True,absolute_error,0.0298311644020628,47,0.568807757278832,58,0.0574206755191255,14,3,RandomForest,125,False,False,COMPLETE,"[0.49, 0.5, 0.60625, 0.5553359683794467]","[0.         0.         0.         0.         0.         0.
 0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.125      0.         0.
 0.         0.         0.08333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.08333333 0.
 0.         0.         0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.        ]"
180,1542.0,,,,562,0.5377628458498024,2024-02-16 22:49:45.372946,2024-02-16 22:50:22.113672,0 days 00:00:36.740726,True,absolute_error,0.0282580370728816,18,0.2473148363001416,55,0.0526744547985503,13,5,RandomForest,177,False,False,COMPLETE,"[0.5720000000000001, 0.41666666666666663, 0.5833333333333333, 0.5790513833992095]","[0.         0.         0.         0.         0.         0.
 0.08333333 0.         0.         0.         0.         0.
 0.         0.         0.29166667 0.         0.         0.
 0.         0.         0.         0.125      0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.25       0.
 0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.        ]"
182,140.0,969.0,,,289,0.5377450719570285,2024-02-16 18:23:50.733239,2024-02-16 18:23:58.825091,0 days 00:00:08.091852,True,absolute_error,0.0827410850280211,20,0.2042496577350638,55,0.0484681643040884,12,6,RandomForest,184,False,False,COMPLETE,"[0.53, 0.44230769230769235, 0.5541666666666667, 0.624505928853755]","[0.         0.         0.         0.         0.         0.
 0.04166667 0.         0.         0.         0.         0.
 0.         0.         0.11309524 0.         0.         0.
 0.         0.         0.         0.25       0.         0.
 0.         0.         0.125      0.         0.06549909 0.
 0.         0.05950091 0.03571429 0.         0.         0.
 0.         0.03571429 0.03571429 0.         0.125      0.
 0.         0.         0.04166667 0.         0.03571429 0.
 0.         0.         0.         0.         0.         0.03571429]"
181,1269.0,,,,289,0.5377450719570285,2024-02-16 18:23:50.733239,2024-02-16 18:23:58.825091,0 days 00:00:08.091852,True,absolute_error,0.0827410850280211,20,0.2042496577350638,55,0.0484681643040884,12,6,RandomForest,184,False,False,COMPLETE,,
